Epoch: 1, Train Loss: 2.8976103505445514, Val Loss: 2.3232147737359448, Took 0:04:38.734231, ETA: 0:41:48.608079

Epoch: 2, Train Loss: 2.1512741138045177, Val Loss: 2.052903664158118, Took 0:04:44.173648, ETA: 0:37:53.389184

Epoch: 3, Train Loss: 1.9526714317198346, Val Loss: 1.9540599667427623, Took 0:04:48.583417, ETA: 0:33:40.083919

Epoch: 4, Train Loss: 1.845764388084207, Val Loss: 1.8941104911469124, Took 0:04:40.463632, ETA: 0:28:02.781792

Epoch: 5, Train Loss: 1.7738266871655595, Val Loss: 1.8545492885195611, Took 0:04:42.636943, ETA: 0:23:33.184715

Epoch: 6, Train Loss: 1.7203781806007683, Val Loss: 1.8378145955934488, Took 0:04:45.663984, ETA: 0:19:02.655936

Epoch: 7, Train Loss: 1.676146253799517, Val Loss: 1.8202458137941175, Took 0:04:53.271372, ETA: 0:14:39.814116

Epoch: 8, Train Loss: 1.640727976203144, Val Loss: 1.8025359642551673, Took 0:04:59.331363, ETA: 0:09:58.662726

Epoch: 9, Train Loss: 1.612955414089785, Val Loss: 1.8001419250569288, Took 0:04:59.776788, ETA: 0:04:59.776788

