Epoch: 1, Train Loss: 3.4601480461134115, Val Loss: 2.870977235576821, Took 0:04:34.091745, ETA: 0:41:06.825705

Epoch: 2, Train Loss: 2.7107625246866753, Val Loss: 2.54877216015083, Took 0:04:43.349035, ETA: 0:37:46.792280

Epoch: 3, Train Loss: 2.4325637286710853, Val Loss: 2.3540092708981635, Took 0:04:41.428733, ETA: 0:32:50.001131

Epoch: 4, Train Loss: 2.256551634321194, Val Loss: 2.2188391795950047, Took 0:04:34.488486, ETA: 0:27:26.930916

Epoch: 5, Train Loss: 2.1367123380677593, Val Loss: 2.124977760563486, Took 0:04:52.537126, ETA: 0:24:22.685630

Epoch: 6, Train Loss: 2.0533592478608234, Val Loss: 2.061951371693703, Took 0:04:50.043146, ETA: 0:19:20.172584

Epoch: 7, Train Loss: 1.9856202538035463, Val Loss: 2.031773361575189, Took 0:04:46.893670, ETA: 0:14:20.681010

Epoch: 8, Train Loss: 1.9349263064542486, Val Loss: 1.980786932251168, Took 0:04:59.664170, ETA: 0:09:59.328340

Epoch: 9, Train Loss: 1.8931750493593087, Val Loss: 1.9535935793834303, Took 0:05:16.828537, ETA: 0:05:16.828537

Epoch: 10, Train Loss: 1.8504049876110318, Val Loss: 1.93476488334792, Took 0:05:24.082458, ETA: 0:00:00

