Epoch: 1, Train Loss: 3.2411044449253654, Val Loss: 2.6328081286870515, Took 0:03:08.194315, ETA: 0:59:35.691985

Epoch: 2, Train Loss: 2.4610448609094253, Val Loss: 2.3178072773493255, Took 0:03:04.104873, ETA: 0:55:13.887714

Epoch: 3, Train Loss: 2.1961494831056556, Val Loss: 2.0975021719932556, Took 0:03:03.143305, ETA: 0:51:53.436185

Epoch: 4, Train Loss: 2.011500096321106, Val Loss: 1.9478423778827374, Took 0:03:03.359419, ETA: 0:48:53.750704

Epoch: 5, Train Loss: 1.8762862607133235, Val Loss: 1.829287725687027, Took 0:03:04.243860, ETA: 0:46:03.657900

Epoch: 6, Train Loss: 1.7673182680371493, Val Loss: 1.7646045840703524, Took 0:03:04.760379, ETA: 0:43:06.645306

Epoch: 7, Train Loss: 1.7004251599823457, Val Loss: 1.6893770167460809, Took 0:03:02.433773, ETA: 0:39:31.639049

Epoch: 8, Train Loss: 1.6323232479873133, Val Loss: 1.6804263380857614, Took 0:03:12.833166, ETA: 0:38:33.997992

Epoch: 9, Train Loss: 1.5877492046663177, Val Loss: 1.6276709001797895, Took 0:03:13.463522, ETA: 0:35:28.098742

Epoch: 10, Train Loss: 1.5492436812670958, Val Loss: 1.6072426461256468, Took 0:03:02.976870, ETA: 0:30:29.768700

Epoch: 11, Train Loss: 1.514673148102003, Val Loss: 1.5718644426419184, Took 0:03:14.802640, ETA: 0:29:13.223760

Epoch: 12, Train Loss: 1.4863293654928904, Val Loss: 1.5606933350746448, Took 0:03:02.686345, ETA: 0:24:21.490760

Epoch: 13, Train Loss: 1.4581448722806611, Val Loss: 1.5405567462627705, Took 0:03:10.935531, ETA: 0:22:16.548717

Epoch: 14, Train Loss: 1.4331641612646406, Val Loss: 1.5357221910586725, Took 0:03:13.970381, ETA: 0:19:23.822286

Epoch: 15, Train Loss: 1.409460282223419, Val Loss: 1.5286088870121883, Took 0:03:08.997905, ETA: 0:15:44.989525

Epoch: 16, Train Loss: 1.3854469390897792, Val Loss: 1.513507906290201, Took 0:03:09.853513, ETA: 0:12:39.414052

Epoch: 17, Train Loss: 1.3657945252795076, Val Loss: 1.5065078194324786, Took 0:03:08.529032, ETA: 0:09:25.587096

Epoch: 18, Train Loss: 1.3513212222398094, Val Loss: 1.5028404089120717, Took 0:03:04.301707, ETA: 0:06:08.603414

Epoch: 19, Train Loss: 1.333445142062437, Val Loss: 1.4974145916792063, Took 0:03:05.625339, ETA: 0:03:05.625339

