Epoch: 1, Train Loss: 2.697378994671572, Val Loss: 2.2163918486008276, Took 0:02:53.629993, ETA: 0:54:58.969867

Epoch: 2, Train Loss: 2.0526265713278318, Val Loss: 1.9106967183259818, Took 0:02:50.859125, ETA: 0:51:15.464250

Epoch: 3, Train Loss: 1.823530232292388, Val Loss: 1.7751436036366683, Took 0:02:51.113200, ETA: 0:48:28.924400

Epoch: 4, Train Loss: 1.699073825169019, Val Loss: 1.684227942961913, Took 0:02:50.122450, ETA: 0:45:21.959200

Epoch: 5, Train Loss: 1.6012856305924608, Val Loss: 1.6158988168606392, Took 0:02:49.943910, ETA: 0:42:29.158650

Epoch: 6, Train Loss: 1.5389717762562338, Val Loss: 1.5772495554043697, Took 0:02:50.973501, ETA: 0:39:53.629014

Epoch: 7, Train Loss: 1.4800134446999547, Val Loss: 1.5456606195523188, Took 0:02:49.948665, ETA: 0:36:49.332645

Epoch: 8, Train Loss: 1.4336873576876432, Val Loss: 1.5256812425760122, Took 0:02:49.895217, ETA: 0:33:58.742604

Epoch: 9, Train Loss: 1.3928634596996552, Val Loss: 1.489126855134964, Took 0:02:50.237626, ETA: 0:31:12.613886

Epoch: 10, Train Loss: 1.3587672492465237, Val Loss: 1.4745550843385549, Took 0:02:50.146018, ETA: 0:28:21.460180

Epoch: 11, Train Loss: 1.3255726636735155, Val Loss: 1.451191551410235, Took 0:02:51.360537, ETA: 0:25:42.244833

Test Performance: Loss: 1.4705567078387483, Perplexity: 4.351657068448759, Bleu1: 66.78727716404454, Bleu4: 7.981512650524049
