Epoch: 1, Train Loss: 3.260895851472591, Val Loss: 2.777150483895453, Took 0:05:00.126701, ETA: 0:45:01.140309

Epoch: 2, Train Loss: 2.5569076224390748, Val Loss: 2.370851716249606, Took 0:05:00.951918, ETA: 0:40:07.615344

Epoch: 3, Train Loss: 2.257358796749025, Val Loss: 2.1849965648761587, Took 0:05:00.998326, ETA: 0:35:06.988282

Epoch: 4, Train Loss: 2.0906975088546296, Val Loss: 2.0761792938221375, Took 0:05:04.434854, ETA: 0:30:26.609124

Epoch: 5, Train Loss: 1.988377977118622, Val Loss: 2.0046362032301177, Took 0:05:17.190951, ETA: 0:26:25.954755

Epoch: 6, Train Loss: 1.91449882300224, Val Loss: 1.9555736016122531, Took 0:05:04.660364, ETA: 0:20:18.641456

Epoch: 7, Train Loss: 1.8555202476710664, Val Loss: 1.9087733191412848, Took 0:05:03.803120, ETA: 0:15:11.409360

Epoch: 8, Train Loss: 1.807124905817548, Val Loss: 1.8818810569503592, Took 0:05:05.687323, ETA: 0:10:11.374646

Epoch: 9, Train Loss: 1.7676284459430942, Val Loss: 1.8581713440335395, Took 0:05:15.840694, ETA: 0:05:15.840694

Epoch: 10, Train Loss: 1.732010938612579, Val Loss: 1.8501635942910168, Took 0:05:05.581462, ETA: 0:00:00

