Epoch: 1, Train Loss: 2.67187207246543, Val Loss: 2.200175477908208, Took 0:03:00.103467, ETA: 0:57:01.965873

Epoch: 2, Train Loss: 2.0349494542175095, Val Loss: 1.9104294969485356, Took 0:02:58.777942, ETA: 0:53:38.002956

Epoch: 3, Train Loss: 1.8049433404283974, Val Loss: 1.7582882165908813, Took 0:02:58.901891, ETA: 0:50:41.332147

Epoch: 4, Train Loss: 1.6631288346814495, Val Loss: 1.6581442915476285, Took 0:02:59.181359, ETA: 0:47:46.901744

Epoch: 5, Train Loss: 1.5779990311344294, Val Loss: 1.5912713734003214, Took 0:02:58.413767, ETA: 0:44:36.206505

Epoch: 6, Train Loss: 1.5074569150101984, Val Loss: 1.5482726303430705, Took 0:02:58.207482, ETA: 0:41:34.904748

Epoch: 7, Train Loss: 1.4544341378457557, Val Loss: 1.525422918338042, Took 0:02:58.847269, ETA: 0:38:45.014497

Epoch: 8, Train Loss: 1.4089930433060478, Val Loss: 1.493797873533689, Took 0:02:58.544484, ETA: 0:35:42.533808

Epoch: 9, Train Loss: 1.368134312414816, Val Loss: 1.486672405554698, Took 0:02:59.843705, ETA: 0:32:58.280755

Epoch: 10, Train Loss: 1.3359451735991776, Val Loss: 1.44998562840315, Took 0:02:59.619291, ETA: 0:29:56.192910

Epoch: 11, Train Loss: 1.2931746515593303, Val Loss: 1.4487765000416681, Took 0:03:00.136177, ETA: 0:27:01.225593

Epoch: 12, Train Loss: 1.2625009430836198, Val Loss: 1.4475450621201442, Took 0:03:06.328950, ETA: 0:24:50.631600

Epoch: 13, Train Loss: 1.235179235085909, Val Loss: 1.419024562377196, Took 0:03:08.891934, ETA: 0:22:02.243538

Test Performance: Loss: 1.4360004105466477, Perplexity: 4.203848480194879, Bleu1: 67.33537459101494, Bleu4: 8.32382613044965
