Epoch: 1, Train Loss: 2.7809055438880756, Val Loss: 2.248881721496582, Took 0:02:53.024214, ETA: 0:54:47.460066

Epoch: 2, Train Loss: 2.0907497230517507, Val Loss: 1.9592763786132519, Took 0:02:49.608083, ETA: 0:50:52.945494

Epoch: 3, Train Loss: 1.8546719599179444, Val Loss: 1.8173916358214157, Took 0:02:50.672067, ETA: 0:48:21.425139

Epoch: 4, Train Loss: 1.7114147429814155, Val Loss: 1.6930014257247632, Took 0:02:50.620973, ETA: 0:45:29.935568

Epoch: 5, Train Loss: 1.6185971037001057, Val Loss: 1.6342548897633187, Took 0:02:50.466278, ETA: 0:42:36.994170

Epoch: 6, Train Loss: 1.551883055723788, Val Loss: 1.5745248482777523, Took 0:02:50.531957, ETA: 0:39:47.447398

Epoch: 7, Train Loss: 1.495100343790177, Val Loss: 1.5570479640593895, Took 0:02:50.171486, ETA: 0:36:52.229318

Epoch: 8, Train Loss: 1.4471434264735603, Val Loss: 1.5254970394648038, Took 0:02:49.417967, ETA: 0:33:53.015604

Epoch: 9, Train Loss: 1.412996760356068, Val Loss: 1.4825988810796005, Took 0:02:51.061853, ETA: 0:31:21.680383

Test Performance: Loss: 1.4750807095081249, Perplexity: 4.371388571313888, Bleu1: 66.67049022327905, Bleu4: 7.615216889184305
