Epoch: 1, Train Loss: 3.1844340431843703, Val Loss: 2.5509810768640957, Took 0:02:57.011951, ETA: 0:56:03.227069

Epoch: 2, Train Loss: 2.368730106578876, Val Loss: 2.2193296441665065, Took 0:03:11.246721, ETA: 0:57:22.440978

Epoch: 3, Train Loss: 2.147353993874251, Val Loss: 2.0955241423386792, Took 0:03:07.295699, ETA: 0:53:04.026883

Epoch: 4, Train Loss: 2.009295975189864, Val Loss: 1.953876325717339, Took 0:03:03.228743, ETA: 0:48:51.659888

Epoch: 5, Train Loss: 1.8804131374338666, Val Loss: 1.848868342087819, Took 0:03:04.142566, ETA: 0:46:02.138490

Epoch: 6, Train Loss: 1.7839105726311646, Val Loss: 1.7825140058994293, Took 0:02:58.674469, ETA: 0:41:41.442566

Epoch: 7, Train Loss: 1.7147763408304795, Val Loss: 1.7248352747697098, Took 0:03:01.523863, ETA: 0:39:19.810219

Epoch: 8, Train Loss: 1.6614644504923677, Val Loss: 1.6790124297142028, Took 0:03:00.188818, ETA: 0:36:02.265816

Epoch: 9, Train Loss: 1.604837766788548, Val Loss: 1.6357693961033455, Took 0:03:01.736093, ETA: 0:33:19.097023

Epoch: 10, Train Loss: 1.5686604826235464, Val Loss: 1.6148317868892963, Took 0:02:59.101910, ETA: 0:29:51.019100

Epoch: 11, Train Loss: 1.539961429726924, Val Loss: 1.5858081602133238, Took 0:03:09.399026, ETA: 0:28:24.591234

Epoch: 12, Train Loss: 1.5060184788294617, Val Loss: 1.5672857091977046, Took 0:03:11.661075, ETA: 0:25:33.288600

Epoch: 13, Train Loss: 1.473224243278667, Val Loss: 1.5411564538112053, Took 0:03:13.854792, ETA: 0:22:36.983544

Epoch: 14, Train Loss: 1.4450059070095995, Val Loss: 1.5345806328149942, Took 0:03:15.015402, ETA: 0:19:30.092412

Epoch: 15, Train Loss: 1.4317470922490558, Val Loss: 1.527899545431137, Took 0:03:17.805000, ETA: 0:16:29.025000

Test Performance: Loss: 1.5245488653791712, Perplexity: 4.593071008492015, Bleu1: 65.80714532045016, Bleu4: 7.242797499708998
