Epoch: 1, Train Loss: 3.170864356126908, Val Loss: 2.492770692935357, Took 0:02:52.519390, ETA: 0:54:37.868410

Epoch: 2, Train Loss: 2.351533868537952, Val Loss: 2.227574336528778, Took 0:02:50.011856, ETA: 0:51:00.213408

Epoch: 3, Train Loss: 2.145777536973421, Val Loss: 2.089100701075334, Took 0:02:50.724987, ETA: 0:48:22.324779

Epoch: 4, Train Loss: 2.0041795760265235, Val Loss: 1.9535663049954635, Took 0:02:50.265257, ETA: 0:45:24.244112

Epoch: 5, Train Loss: 1.8857728166641596, Val Loss: 1.8434014815550583, Took 0:02:50.091632, ETA: 0:42:31.374480

Epoch: 6, Train Loss: 1.7852428498697894, Val Loss: 1.7623738976625296, Took 0:02:49.792853, ETA: 0:39:37.099942

Epoch: 7, Train Loss: 1.7092131710359466, Val Loss: 1.7319408297538756, Took 0:02:49.848798, ETA: 0:36:48.034374

Epoch: 8, Train Loss: 1.6414805565780837, Val Loss: 1.6667067284767445, Took 0:02:49.683793, ETA: 0:33:56.205516

Epoch: 9, Train Loss: 1.5953165186832903, Val Loss: 1.638835384295537, Took 0:02:50.722771, ETA: 0:31:17.950481

Epoch: 10, Train Loss: 1.562016159628594, Val Loss: 1.6128206349336185, Took 0:02:50.795487, ETA: 0:28:27.954870

Epoch: 11, Train Loss: 1.525120164191774, Val Loss: 1.586419818493036, Took 0:02:50.134596, ETA: 0:25:31.211364

Epoch: 12, Train Loss: 1.4934548911618573, Val Loss: 1.563285488807238, Took 0:02:49.548576, ETA: 0:22:36.388608

Epoch: 13, Train Loss: 1.470839822036514, Val Loss: 1.5464330242230342, Took 0:02:49.569885, ETA: 0:19:46.989195

Test Performance: Loss: 1.5340756129711233, Perplexity: 4.637037131212729, Bleu1: 66.34517985400277, Bleu4: 7.239726986536064
