Epoch: 1, Train Loss: 3.580656510843538, Val Loss: 3.0847723638228928, Took 0:05:18.275506, ETA: 0:47:44.479554

Epoch: 2, Train Loss: 2.9537666867950696, Val Loss: 2.8273910541792175, Took 0:05:06.360216, ETA: 0:40:50.881728

Epoch: 3, Train Loss: 2.72410345550872, Val Loss: 2.6334885759243174, Took 0:05:14.448043, ETA: 0:36:41.136301

Epoch: 4, Train Loss: 2.549677889115259, Val Loss: 2.487452591017867, Took 0:05:11.695427, ETA: 0:31:10.172562

Epoch: 5, Train Loss: 2.421528452889401, Val Loss: 2.37638168744599, Took 0:05:12.753436, ETA: 0:26:03.767180

Epoch: 6, Train Loss: 2.321378679983246, Val Loss: 2.2988101439586477, Took 0:05:07.268880, ETA: 0:20:29.075520

Epoch: 7, Train Loss: 2.2426495551679184, Val Loss: 2.2333087387232244, Took 0:05:09.314555, ETA: 0:15:27.943665

Epoch: 8, Train Loss: 2.177778502075067, Val Loss: 2.184093203553822, Took 0:05:03.452874, ETA: 0:10:06.905748

Epoch: 9, Train Loss: 2.1278980391607387, Val Loss: 2.1363796701072264, Took 0:04:52.273056, ETA: 0:04:52.273056

Epoch: 10, Train Loss: 2.0803867268137575, Val Loss: 2.1044245695975756, Took 0:04:54.128144, ETA: 0:00:00

