Epoch: 1, Train Loss: 3.1442260364606147, Val Loss: 2.450091329904703, Took 0:02:51.378246, ETA: 0:54:16.186674

Epoch: 2, Train Loss: 2.308913068914618, Val Loss: 2.1883284082779517, Took 0:02:49.128945, ETA: 0:50:44.321010

Epoch: 3, Train Loss: 2.114205855719521, Val Loss: 2.031355203115023, Took 0:02:50.218936, ETA: 0:48:13.721912

Epoch: 4, Train Loss: 1.9669184283125554, Val Loss: 1.9166658497773683, Took 0:02:50.637988, ETA: 0:45:30.207808

Epoch: 5, Train Loss: 1.8330167427083452, Val Loss: 1.7965699585584494, Took 0:02:49.968679, ETA: 0:42:29.530185

Epoch: 6, Train Loss: 1.74022947826099, Val Loss: 1.729249525987185, Took 0:02:50.406190, ETA: 0:39:45.686660

Epoch: 7, Train Loss: 1.6710972867810163, Val Loss: 1.6998750865459442, Took 0:02:50.937788, ETA: 0:37:02.191244

Epoch: 8, Train Loss: 1.6067551458854021, Val Loss: 1.638081385080631, Took 0:02:49.198161, ETA: 0:33:50.377932

Epoch: 9, Train Loss: 1.558005154132843, Val Loss: 1.6158597776523003, Took 0:02:50.743692, ETA: 0:31:18.180612

Epoch: 10, Train Loss: 1.5278769083289119, Val Loss: 1.585663340641902, Took 0:02:50.999158, ETA: 0:28:29.991580

Epoch: 11, Train Loss: 1.4946408474905808, Val Loss: 1.5770299223753121, Took 0:02:50.169058, ETA: 0:25:31.521522

Epoch: 12, Train Loss: 1.4731406052736766, Val Loss: 1.5450834553975326, Took 0:02:49.619926, ETA: 0:22:36.959408

Epoch: 13, Train Loss: 1.4479884862899781, Val Loss: 1.538853312455691, Took 0:02:51.077093, ETA: 0:19:57.539651

Epoch: 14, Train Loss: 1.4112986380450203, Val Loss: 1.513285915209697, Took 0:02:51.348637, ETA: 0:17:08.091822

Epoch: 15, Train Loss: 1.3955148487643623, Val Loss: 1.5082757317102873, Took 0:02:51.812294, ETA: 0:14:19.061470

Epoch: 16, Train Loss: 1.3714013091995991, Val Loss: 1.488594594368568, Took 0:02:50.113502, ETA: 0:11:20.454008

Test Performance: Loss: 1.4974856668330254, Perplexity: 4.470434765329645, Bleu1: 67.01422556929381, Bleu4: 7.489360623076026
