Epoch: 1, Train Loss: 2.6842952808085427, Val Loss: 2.191068228391501, Took 0:03:13.099162, ETA: 1:01:08.884078

Epoch: 2, Train Loss: 2.0445520446024226, Val Loss: 1.8794699957737555, Took 0:03:09.507608, ETA: 0:56:51.136944

Epoch: 3, Train Loss: 1.7924886624700522, Val Loss: 1.7433219941762776, Took 0:03:07.720545, ETA: 0:53:11.249265

Epoch: 4, Train Loss: 1.66001441657799, Val Loss: 1.6574726260625399, Took 0:03:10.502677, ETA: 0:50:48.042832

Epoch: 5, Train Loss: 1.567191935404176, Val Loss: 1.6014340698719025, Took 0:03:11.616503, ETA: 0:47:54.247545

Epoch: 6, Train Loss: 1.504756442108891, Val Loss: 1.5489778798360092, Took 0:03:14.292922, ETA: 0:45:20.100908

Epoch: 7, Train Loss: 1.4499070871541428, Val Loss: 1.5178011454068698, Took 0:03:11.868366, ETA: 0:41:34.288758

Epoch: 8, Train Loss: 1.3999858497550048, Val Loss: 1.485153185404264, Took 0:03:12.908892, ETA: 0:38:34.906704

Epoch: 9, Train Loss: 1.3612623316535621, Val Loss: 1.4677606999874115, Took 0:03:15.851812, ETA: 0:35:54.369932

Epoch: 10, Train Loss: 1.3216143837814167, Val Loss: 1.4612633113677684, Took 0:03:17.005565, ETA: 0:32:50.055650

Epoch: 11, Train Loss: 1.290002712466686, Val Loss: 1.4549463505928333, Took 0:03:20.771036, ETA: 0:30:06.939324

Epoch: 12, Train Loss: 1.262277061744821, Val Loss: 1.446029242185446, Took 0:03:22.061294, ETA: 0:26:56.490352

Epoch: 13, Train Loss: 1.2327039969837206, Val Loss: 1.4442383541510655, Took 0:03:06.706895, ETA: 0:21:46.948265

