Epoch: 1, Train Loss: 3.2639031622031216, Val Loss: 2.695530662169823, Took 0:03:07.650783, ETA: 0:59:25.364877

Epoch: 2, Train Loss: 2.5106481470263566, Val Loss: 2.3862252693909864, Took 0:03:07.928221, ETA: 0:56:22.707978

Epoch: 3, Train Loss: 2.2540824335020497, Val Loss: 2.1689541183985197, Took 0:03:08.884059, ETA: 0:53:31.029003

Epoch: 4, Train Loss: 2.088174861950936, Val Loss: 2.0117601830225724, Took 0:03:04.590473, ETA: 0:49:13.447568

Epoch: 5, Train Loss: 1.9506440872286521, Val Loss: 1.8947404315838448, Took 0:03:10.160194, ETA: 0:47:32.402910

Epoch: 6, Train Loss: 1.8394917185214457, Val Loss: 1.7969521857224977, Took 0:03:03.925563, ETA: 0:42:54.957882

Epoch: 7, Train Loss: 1.7650822841558333, Val Loss: 1.7392236856313852, Took 0:03:04.831527, ETA: 0:40:02.809851

Epoch: 8, Train Loss: 1.688636847013056, Val Loss: 1.7240501733926625, Took 0:03:02.529056, ETA: 0:36:30.348672

Epoch: 9, Train Loss: 1.6422763163951333, Val Loss: 1.66468058182643, Took 0:03:03.445691, ETA: 0:33:37.902601

Epoch: 10, Train Loss: 1.609023964865525, Val Loss: 1.6427684866465055, Took 0:03:04.158615, ETA: 0:30:41.586150

Epoch: 11, Train Loss: 1.5601037441916732, Val Loss: 1.58324516919943, Took 0:03:06.400459, ETA: 0:27:57.604131

