Epoch: 1, Train Loss: 2.757952074278066, Val Loss: 2.235782340856699, Took 0:02:52.212905, ETA: 0:54:32.045195

Epoch: 2, Train Loss: 2.055913459384902, Val Loss: 1.9290090583837949, Took 0:02:50.272410, ETA: 0:51:04.903380

Epoch: 3, Train Loss: 1.824078165001112, Val Loss: 1.7620223137048574, Took 0:02:50.601597, ETA: 0:48:20.227149

Epoch: 4, Train Loss: 1.6886385284779921, Val Loss: 1.6646494581149174, Took 0:02:50.608128, ETA: 0:45:29.730048

Epoch: 5, Train Loss: 1.5943094020749367, Val Loss: 1.6159843802452087, Took 0:02:50.263312, ETA: 0:42:33.949680

Epoch: 6, Train Loss: 1.5285965757820228, Val Loss: 1.5786405379955586, Took 0:02:49.555806, ETA: 0:39:33.781284

Epoch: 7, Train Loss: 1.4791488151181922, Val Loss: 1.5349383771419525, Took 0:02:50.070534, ETA: 0:36:50.916942

Epoch: 8, Train Loss: 1.4273483043064887, Val Loss: 1.5172771334648132, Took 0:02:49.787208, ETA: 0:33:57.446496

Epoch: 9, Train Loss: 1.3905881425341824, Val Loss: 1.4768950819969178, Took 0:02:50.809247, ETA: 0:31:18.901717

Epoch: 10, Train Loss: 1.357556126864683, Val Loss: 1.4734572942440327, Took 0:02:49.915281, ETA: 0:28:19.152810

Test Performance: Loss: 1.4612037894573617, Perplexity: 4.31114611818401, Bleu1: 67.12352361630892, Bleu4: 8.044495933369438
